surf_hab,qualite_materiau,surface_sous_sol,qualite_globale,n_garage_voitures,n_toilettes,n_cheminees,n_pieces,n_cuisines,n_chambres_coucher,annee_vente,prix,type_toit,type_batiment,qualite_cuisine,surface_jardin
1710,7,856,5,2,1,0,8,1,3,2008,208500,2 pans,individuelle,bonne,451.2714153011233
1262,6,1262,8,2,0,1,6,1,3,2007,181500,2 pans,individuelle,moyenne,0.0
1786,7,920,5,2,1,1,6,1,3,2008,223500,2 pans,individuelle,bonne,466.36885381006925
1717,7,756,5,3,0,1,7,1,3,2006,140000,2 pans,individuelle,bonne,152.30298564080255
2198,8,1145,5,3,1,1,9,1,4,2008,250000,2 pans,individuelle,bonne,378.18466252766643
1362,5,796,5,2,1,0,5,1,1,2009,143000,2 pans,individuelle,moyenne,378.3863043050819
1694,8,1686,5,2,0,1,7,1,3,2007,307000,2 pans,individuelle,bonne,157.92128155073914
2090,7,1107,6,2,1,2,7,1,3,2009,200000,2 pans,individuelle,moyenne,478.5434729152908
1774,7,952,5,2,0,2,8,2,2,2008,129900,2 pans,individuelle,moyenne,0.0
1077,5,991,6,1,0,2,5,2,2,2008,118000,2 pans,individuelle reconvertie,moyenne,54.25600435859646
1040,5,1040,5,1,0,0,5,1,3,2008,129500,4 pans,individuelle,moyenne,0.0
2324,9,1175,5,3,0,2,11,1,4,2006,345000,4 pans,individuelle,excellente,0.0
912,5,912,6,1,0,0,4,1,2,2008,144000,4 pans,individuelle,moyenne,24.196227156603413
1494,7,1494,5,3,0,1,7,1,3,2007,279500,2 pans,individuelle,bonne,0.0
1253,6,1253,5,1,1,1,5,1,2,2008,157000,4 pans,individuelle,moyenne,229.10821674869672
854,7,832,8,2,0,0,5,1,2,2007,132000,2 pans,individuelle,moyenne,0.0
1004,6,1004,7,2,0,1,5,1,2,2010,149000,2 pans,individuelle,moyenne,0.0
1296,4,0,5,2,0,0,6,2,2,2006,90000,2 pans,duplex,moyenne,31.424733259527386
1114,5,1114,5,2,1,0,6,1,3,2008,159000,2 pans,individuelle,bonne,310.7975924478789
1339,5,1029,6,1,0,0,6,1,3,2009,139000,4 pans,individuelle,moyenne,0.0
2376,8,1158,5,3,1,1,9,1,4,2006,325300,2 pans,individuelle,bonne,547.7648768921554
1108,7,637,7,1,0,1,6,1,3,2007,139400,2 pans,individuelle,bonne,0.0
1795,8,1777,5,2,0,1,7,1,3,2008,230000,4 pans,individuelle,bonne,6.752820468792383
1060,5,1040,7,2,0,1,6,1,3,2007,129900,2 pans,bout de rangée,moyenne,0.0
1060,5,1060,8,1,0,1,6,1,3,2010,154000,2 pans,individuelle,bonne,0.0
1600,8,1566,5,3,0,1,7,1,3,2009,256300,2 pans,individuelle,bonne,11.092258970986608
900,5,900,7,2,0,0,5,1,3,2010,134800,2 pans,individuelle,bonne,0.0
1704,8,1704,5,3,0,1,7,1,3,2010,306000,2 pans,individuelle,bonne,37.569801834567194
1600,5,1484,6,1,0,2,6,1,2,2006,207500,2 pans,individuelle,moyenne,0.0
520,4,520,6,1,0,0,4,1,1,2008,68500,2 pans,individuelle,mediocre,0.0
1317,4,649,4,1,0,0,6,1,3,2008,40000,mansarde,individuelle,moyenne,0.0
1228,5,1228,6,1,1,0,6,1,3,2008,149350,2 pans,individuelle,bonne,586.8278184508938
1234,8,1234,5,2,0,0,7,1,3,2008,179900,2 pans,individuelle,bonne,0.0
1700,5,1398,5,2,1,1,6,1,4,2010,165500,4 pans,individuelle,bonne,296.2289071044099
1561,9,1561,5,2,0,1,6,1,2,2007,277500,4 pans,bout de rangée,excellente,82.2544912103189
2452,8,1117,5,3,1,1,9,1,4,2006,309000,2 pans,individuelle,bonne,279.11563500289776
1097,5,1097,5,2,1,0,6,1,3,2009,145000,2 pans,individuelle,moyenne,422.68635950047553
1297,5,1297,6,2,0,1,5,1,3,2009,153000,4 pans,individuelle,moyenne,0.0
1057,5,1057,7,1,0,0,5,1,3,2010,109000,2 pans,individuelle,bonne,0.0
1152,4,0,5,0,0,0,6,2,2,2008,82000,2 pans,duplex,mediocre,19.686123586912352
1324,6,1088,5,2,0,1,6,1,3,2006,160000,2 pans,individuelle,moyenne,73.84665799954104
1328,5,1350,6,1,1,2,5,1,2,2007,170000,2 pans,individuelle,moyenne,418.53682811899705
884,5,840,7,2,0,0,5,1,2,2007,144000,2 pans,individuelle,bonne,0.0
938,5,938,6,1,0,0,5,1,3,2008,130250,4 pans,individuelle,moyenne,0.0
1150,5,1150,6,1,0,0,6,1,3,2006,141000,2 pans,individuelle,moyenne,0.0
